,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,bonus,existing
100,ADANIENT,Adani Enterprises Limited,EQ,Bonus 1:1,1,10-Dec-09,11-Dec-09,-,-,1,1
138,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Bonus 1:1,10,08-Sep-10,10-Sep-10,-,-,1,1
501,BAJAJFINSV,Bajaj Finserv Limited,EQ,Bonus 1:1,1,13-Sep-22,14-Sep-22,-,-,1,1
311,BAJFINANCE,Bajaj Finance Limited,EQ, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,08-Sep-16,10-Sep-16,-,-,1,1
282,BEL,Bharat Electronics Limited,EQ, Bonus 2:1,1,14-Sep-15,15-Sep-15,-,-,2,1
362,BEL,Bharat Electronics Limited,EQ, Bonus 1:10,1,28-Sep-17,29-Sep-17,-,-,1,10
503,BEL,Bharat Electronics Limited,EQ,Bonus 2:1,1,15-Sep-22,16-Sep-22,-,-,2,1
197,BPCL,Bharat Petroleum Corporation Limited,EQ,Annual General Meeting/ Dividend Rs 11/- Per Share/ Bonus 1:1,10,13-Jul-12,-,17-Jul-12,17-Jul-12,1,1
301,BPCL,Bharat Petroleum Corporation Limited,EQ, Bonus 1:1,10,13-Jul-16,14-Jul-16,-,-,1,1
352,BPCL,Bharat Petroleum Corporation Limited,EQ, Bonus 1:2,10,13-Jul-17,15-Jul-17,-,-,1,2
597,BPCL,Bharat Petroleum Corporation Limited,EQ,Bonus 1:1,10,21-Jun-24,22-Jun-24,-,-,1,1
106,BRITANNIA,Britannia Industries Limited,EQ,Sch Of Agmt- Bonus Deb1:1,1,08-Mar-10,09-Mar-10,-,-,0,1
418,BRITANNIA,Britannia Industries Limited,EQ, Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held,1,22-Aug-19,23-Aug-19,-,-,0,1
442,BRITANNIA,Britannia Industries Limited,EQ, Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held,1,25-May-21,27-May-21,-,-,0,1
2,CIPLA,Cipla Limited,EQ,Bonus 3:2,2,24-Apr-06,25-Apr-06,-,-,3,2
9,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Bonus 1:1,5,28-Aug-06,29-Aug-06,-,-,1,1
165,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Scheme Of Arrangement - Bonus Debentures 6:1,5,17-Mar-11,18-Mar-11,-,-,0,1
37,HCLTECH,HCL Technologies Limited,EQ,Bonus 1:1,2,15-Mar-07,16-Mar-07,-,-,1,1
264,HCLTECH,HCL Technologies Limited,EQ,Bonus 1 : 1,2,19-Mar-15,20-Mar-15,-,-,1,1
423,HCLTECH,HCL Technologies Limited,EQ, Bonus 1:1,2,05-Dec-19,07-Dec-19,-,-,1,1
337,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),2,20-Jun-17,-,22-Jun-17,24-Jun-17,1,10
4,INFY,Infosys Limited,EQ,Bonus 1:1,5,13-Jul-06,14-Jul-06,-,-,1,1
258,INFY,Infosys Limited,EQ,Bonus 1:1,5,02-Dec-14,03-Dec-14,-,-,1,1
271,INFY,Infosys Limited,EQ,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1,5,15-Jun-15,-,17-Jun-15,17-Jun-15,1,1
397,INFY,Infosys Limited,EQ, Bonus 1:1,5,04-Sep-18,05-Sep-18,-,-,1,1
129,ITC,ITC Limited,EQ,Bonus 1:1,1,03-Aug-10,04-Aug-10,-,-,1,1
300,ITC,ITC Limited,EQ, Bonus 1:2,1,01-Jul-16,04-Jul-16,-,-,1,2
276,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Bonus 1: 1,5,08-Jul-15,09-Jul-15,-,-,1,1
17,LT,Larsen & Toubro Limited,EQ,Bonus 1:1,2,28-Sep-06,29-Sep-06,-,-,1,1
78,LT,Larsen & Toubro Limited,EQ,Bonus 1:1,2,01-Oct-08,03-Oct-08,-,-,1,1
219,LT,Larsen & Toubro Limited,EQ,Bonus 1:2,2,11-Jul-13,13-Jul-13,-,-,1,2
353,LT,Larsen & Toubro Limited,EQ, Bonus 1:2,2,13-Jul-17,14-Jul-17,-,-,1,2
266,NTPC,NTPC Limited,EQ,Scheme Of Arrangement - Bonus Debentures 1:1,10,20-Mar-15,23-Mar-15,-,-,0,1
405,NTPC,NTPC Limited,EQ, Bonus 1:5,10,19-Mar-19,20-Mar-19,-,-,1,5
21,ONGC,Oil & Natural Gas Corporation Limited,EQ,Bonus 1:2,5,27-Oct-06,30-Oct-06,-,-,1,2
160,ONGC,Oil & Natural Gas Corporation Limited,EQ,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-,5,08-Feb-11,09-Feb-11,-,-,1,1
320,ONGC,Oil & Natural Gas Corporation Limited,EQ, Bonus 1: 2,5,15-Dec-16,16-Dec-16,-,-,1,2
448,POWERGRID,Power Grid Corporation of India Limited,EQ, Bonus 1:3,10,29-Jul-21,30-Jul-21,-,-,1,3
557,POWERGRID,Power Grid Corporation of India Limited,EQ,Bonus 1:3,10,12-Sep-23,12-Sep-23,-,-,1,3
99,RELIANCE,Reliance Industries Limited,EQ,Bonus 1:1,10,26-Nov-09,27-Nov-09,-,-,1,1
356,RELIANCE,Reliance Industries Limited,EQ, Bonus 1:1,10,07-Sep-17,09-Sep-17,-,-,1,1
223,SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,Bonus 1:1,1,29-Jul-13,30-Jul-13,-,-,1,1
7,TCS,Tata Consultancy Services Limited,EQ,Intdiv-Rs 3persh/Bonus1:1,1,28-Jul-06,31-Jul-06,-,-,1,1
89,TCS,Tata Consultancy Services Limited,EQ,Bonus 1:1/Div-Rs.5 Per Sh,1,16-Jun-09,17-Jun-09,-,-,1,1
378,TCS,Tata Consultancy Services Limited,EQ, Bonus 1:1 /Dividend- Rs 29 Per Share,1,31-May-18,02-Jun-18,-,-,1,1
265,TECHM,Tech Mahindra Limited,EQ,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,5,19-Mar-15,20-Mar-15,-,-,1,1
170,TITAN,Titan Company Limited,EQ,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,1,23-Jun-11,24-Jun-11,-,-,1,1
118,WIPRO,Wipro Limited,EQ,Bonus 2:3 And Final Dividend Rs.6/- Per Share,2,15-Jun-10,16-Jun-10,-,-,2,3
335,WIPRO,Wipro Limited,EQ, Bonus 1:1,2,13-Jun-17,14-Jun-17,-,-,1,1
404,WIPRO,Wipro Limited,EQ, Bonus 1:3,2,06-Mar-19,07-Mar-19,-,-,1,3
